No,TMNo,EnNo,Name,INOUT,Mode,DateTime
393,1,5,,0,0,8/8/2019 9:25
394,1,4,,0,0,8/8/2019 9:27
395,1,16,,0,0,8/8/2019 9:50
396,1,15,,0,0,8/8/2019 9:50
397,1,22,,0,0,8/8/2019 11:14
398,1,37,,0,0,8/8/2019 12:20
399,1,26,,0,0,8/8/2019 13:56
400,1,27,,0,0,8/8/2019 13:56
401,1,25,,0,0,8/8/2019 14:05
402,1,38,,0,0,8/8/2019 14:05
403,1,30,,0,0,8/8/2019 14:48
404,1,36,,0,0,8/8/2019 14:54
405,1,31,,0,0,8/8/2019 15:09
406,1,41,,0,0,8/8/2019 15:55
407,1,42,,0,0,8/8/2019 16:02
408,1,30,,0,0,8/8/2019 16:02
409,1,46,,0,0,8/8/2019 16:02
410,1,44,,0,0,8/8/2019 16:13
411,1,36,,0,0,8/8/2019 16:32
412,1,25,,0,0,8/8/2019 16:33
413,1,27,,0,0,8/8/2019 16:34
414,1,26,,0,0,8/8/2019 16:34
415,1,31,,0,0,8/8/2019 16:36
416,1,29,,0,0,8/8/2019 16:36
417,1,6,,0,0,8/8/2019 17:06
418,1,41,,0,0,8/8/2019 17:11
419,1,42,,0,0,8/8/2019 17:11
420,1,46,,0,0,8/8/2019 17:11
421,1,44,,0,0,8/8/2019 17:11
422,1,4,,0,0,8/8/2019 18:42
423,1,4,,0,0,8/8/2019 18:43
424,1,5,,0,0,8/8/2019 18:43
425,1,9,,0,0,8/8/2019 18:49
426,1,1,,0,0,8/8/2019 20:04
427,1,3,,0,0,8/8/2019 20:05
428,1,3,,0,0,8/9/2019 7:55
429,1,9,,0,0,8/9/2019 7:56
430,1,17,,0,0,8/9/2019 7:58
431,1,10,,0,0,8/9/2019 7:58
432,1,48,,0,0,8/9/2019 8:04
433,1,16,,0,0,8/9/2019 8:07
434,1,18,,0,0,8/9/2019 8:14
435,1,20,,0,0,8/9/2019 8:23
436,1,10,,0,0,8/9/2019 8:59
437,1,48,,0,0,8/9/2019 9:00
438,1,23,,0,0,8/9/2019 9:06
439,1,5,,0,0,8/9/2019 9:29
440,1,16,,0,0,8/9/2019 9:31
441,1,18,,0,0,8/9/2019 9:59
442,1,37,,0,0,8/9/2019 10:42
443,1,4,,0,0,8/9/2019 11:23
444,1,4,,0,0,8/9/2019 11:23
445,1,37,,0,0,8/9/2019 12:39
446,1,22,,0,0,8/9/2019 13:08
447,1,26,,0,0,8/9/2019 13:51
448,1,38,,0,0,8/9/2019 13:52
449,1,27,,0,0,8/9/2019 13:57
450,1,25,,0,0,8/9/2019 14:18
451,1,28,,0,0,8/9/2019 15:01
452,1,31,,0,0,8/9/2019 15:01
453,1,36,,0,0,8/9/2019 15:05
454,1,30,,0,0,8/9/2019 15:06
455,1,41,,0,0,8/9/2019 15:56
456,1,43,,0,0,8/9/2019 15:57
457,1,42,,0,0,8/9/2019 15:58
458,1,24,,0,0,8/9/2019 15:58
459,1,37,,0,0,8/9/2019 15:58
460,1,46,,0,0,8/9/2019 16:05
461,1,44,,0,0,8/9/2019 16:10
462,1,27,,0,0,8/9/2019 16:17
463,1,26,,0,0,8/9/2019 16:17
464,1,8,,0,0,8/9/2019 17:06
465,1,7,,0,0,8/9/2019 17:07
466,1,31,,0,0,8/9/2019 17:08
467,1,28,,0,0,8/9/2019 17:08
468,1,30,,0,0,8/9/2019 17:08
469,1,29,,0,0,8/9/2019 17:08
470,1,25,,0,0,8/9/2019 17:09
471,1,46,,0,0,8/9/2019 17:19
472,1,42,,0,0,8/9/2019 17:20
473,1,44,,0,0,8/9/2019 17:20
474,1,43,,0,0,8/9/2019 17:20
475,1,41,,0,0,8/9/2019 17:20
476,1,9,,0,0,8/9/2019 18:32
477,1,4,,0,0,8/9/2019 18:40
478,1,4,,0,0,8/9/2019 18:40
479,1,1,,0,0,8/9/2019 20:12
480,1,3,,0,0,8/9/2019 20:12
481,1,10,,0,0,8/10/2019 8:00
482,1,9,,0,0,8/10/2019 8:00
483,1,3,,0,0,8/10/2019 8:00
484,1,35,,0,0,8/10/2019 8:02
485,1,49,,0,0,8/10/2019 8:08
486,1,12,,0,0,8/10/2019 8:08
487,1,32,,0,0,8/10/2019 8:20
488,1,20,,0,0,8/10/2019 8:30
489,1,18,,0,0,8/10/2019 8:43
490,1,48,,0,0,8/10/2019 9:02
491,1,10,,0,0,8/10/2019 9:03
492,1,35,,0,0,8/10/2019 9:03
493,1,23,,0,0,8/10/2019 9:04
494,1,4,,0,0,8/10/2019 9:12
495,1,4,,0,0,8/10/2019 9:12
496,1,5,,0,0,8/10/2019 9:23
497,1,37,,0,0,8/10/2019 10:01
498,1,27,,0,0,8/10/2019 13:55
499,1,25,,0,0,8/10/2019 14:04
500,1,38,,0,0,8/10/2019 14:07
501,1,31,,0,0,8/10/2019 14:59
502,1,28,,0,0,8/10/2019 15:02
503,1,30,,0,0,8/10/2019 15:15
504,1,45,,0,0,8/10/2019 16:00
505,1,41,,0,0,8/10/2019 16:00
506,1,46,,0,0,8/10/2019 16:00
507,1,43,,0,0,8/10/2019 16:01
508,1,44,,0,0,8/10/2019 16:12
509,1,27,,0,0,8/10/2019 16:31
510,1,25,,0,0,8/10/2019 16:43
511,1,28,,0,0,8/10/2019 16:45
512,1,31,,0,0,8/10/2019 16:45
513,1,30,,0,0,8/10/2019 16:45
514,1,44,,0,0,8/10/2019 17:04
515,1,43,,0,0,8/10/2019 17:04
516,1,46,,0,0,8/10/2019 17:04
517,1,45,,0,0,8/10/2019 17:04
518,1,41,,0,0,8/10/2019 17:04
519,1,4,,0,0,8/10/2019 18:39
520,1,4,,0,0,8/10/2019 18:39
521,1,9,,0,0,8/10/2019 18:41
522,1,1,,0,0,8/10/2019 20:23
523,1,3,,0,0,8/10/2019 20:24
524,1,32,,0,0,8/13/2019 8:11
525,1,9,,0,0,8/13/2019 8:11
526,1,1,,0,0,8/13/2019 8:12
527,1,15,,0,0,8/13/2019 8:12
528,1,16,,0,0,8/13/2019 8:13
529,1,10,,0,0,8/13/2019 8:13
